GEOID,label,TRACTCE10,NAME10,NAMELSAD10,INTPTLAT,INTPTLONG,long+,long-,lat+,lat-,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration,"INCOME AND BENEFITS (IN 2017 INFLATION-ADJUSTED DOLLARS) Less than $10,000",HEALTH INSURANCE COVERAGE With health insurance coverage,HEALTH INSURANCE COVERAGE With private health insurance,YEAR STRUCTURE BUILT Built 2014 or later,YEAR STRUCTURE BUILT Built 2010 to 2013,HOUSING TENURE Renter-occupied,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2015 or later,YEAR HOUSEHOLDER MOVED INTO UNIT Moved in 2010 to 2014,VEHICLES AVAILABLE No vehicles available,VEHICLES AVAILABLE 2 vehicles available,VEHICLES AVAILABLE 3 or more vehicles available,OCCUPANTS PER ROOM 1.01 to 1.50,OCCUPANTS PER ROOM 1.51 or more,MORTGAGE STATUS Owner-occupied units Housing units with a mortgage,65 years and over,MARITAL STATUS Males 15 years and over Never married,MARITAL STATUS Females 15 years and over Never married,EDUCATIONAL ATTAINMENT Less than 9th grade,"EDUCATIONAL ATTAINMENT 9th to 12th grade, no diploma",Percent bachelor's degree or higher,PLACE OF BIRTH Native Different state,SEX AND AGE 62 years and over,White,Black or African American,American Indian and Alaska Native,Asian,Hispanic or Latino (of any race),Own children of the householder under 6 years,Own children of the householder 6 to 17 years,Mean travel time to work (minutes),Median household income (dollars),Mean household income (dollars),Total housing units,Homeowner vacancy rate,Rental vacancy rate,ROOM Median rooms,VALUE Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units with a mortgage Median (dollars),SELECTED MONTHLY OWNER COSTS (SMOC) Housing units without a mortgage Median (dollars),GROSS RENT Occupied units paying rent Median (dollars),Population in households,YEAR OF ENTRY Population born outside the United States,YEAR OF ENTRY Foreign born,Total households,Total population,Sex ratio (males per 100 females),Median age (years),relation_max_fee,relation_min_fee
17031140400.00,0.00,140400.00,1404.00,Census Tract 1404,41.97,-87.74,-87.74,-87.74,41.97,41.97,0.00,0.10,0.13,0.03,0.12,0.07,0.03,0.06,0.12,0.21,0.07,0.04,0.03,0.03,0.88,0.61,0.00,0.00,0.36,0.08,0.32,0.12,0.35,0.14,0.04,0.01,0.65,0.11,0.30,0.26,0.08,0.06,0.34,0.11,0.17,0.65,0.00,0.00,0.20,0.34,452.00,1077.00,39.60,73906.00,90381.00,2387.00,0.00,0.00,5.70,298400.00,2215.00,662.00,870.00,6884.00,2396.00,2259.00,2280.00,6884.00,94.50,38.20,1326.00,889.00
17031140500.00,0.00,140500.00,1405.00,Census Tract 1405,41.97,-87.73,-87.73,-87.74,41.97,41.96,0.02,0.03,0.07,0.03,0.13,0.10,0.01,0.03,0.15,0.24,0.10,0.05,0.03,0.04,0.83,0.56,0.02,0.00,0.44,0.07,0.40,0.13,0.33,0.12,0.04,0.04,0.70,0.04,0.36,0.32,0.12,0.04,0.32,0.06,0.16,0.52,0.05,0.00,0.27,0.46,435.00,639.00,35.70,56278.00,75499.00,1367.00,0.00,3.50,5.40,262700.00,1885.00,501.00,1050.00,4237.00,1951.00,1808.00,1272.00,4237.00,100.00,35.40,990.00,870.00
17031140601.00,0.00,140601.00,1406.01,Census Tract 1406.01,41.96,-87.73,-87.72,-87.73,41.97,41.96,0.00,0.05,0.18,0.00,0.10,0.08,0.03,0.03,0.11,0.15,0.17,0.07,0.02,0.14,0.77,0.47,0.00,0.00,0.59,0.08,0.30,0.24,0.23,0.14,0.05,0.03,0.69,0.11,0.41,0.34,0.25,0.07,0.19,0.07,0.14,0.53,0.04,0.00,0.20,0.56,95.00,442.00,35.20,45769.00,58344.00,964.00,0.00,0.00,5.00,285800.00,1884.00,673.00,949.00,2760.00,1520.00,1446.00,918.00,2760.00,116.00,36.90,1074.00,925.00
17031140602.00,0.00,140602.00,1406.02,Census Tract 1406.02,41.96,-87.72,-87.72,-87.72,41.97,41.96,0.00,0.05,0.09,0.01,0.11,0.10,0.01,0.07,0.10,0.17,0.25,0.02,0.04,0.08,0.77,0.42,0.01,0.00,0.71,0.11,0.36,0.24,0.23,0.12,0.02,0.02,0.65,0.07,0.56,0.49,0.12,0.07,0.29,0.05,0.10,0.63,0.07,0.00,0.09,0.61,444.00,646.00,37.70,60508.00,72616.00,1831.00,0.00,5.80,4.90,289000.00,1973.00,1006.00,1074.00,5251.00,2657.00,2623.00,1589.00,5251.00,99.70,30.40,1137.00,948.00
17031140701.00,0.00,140701.00,1407.01,Census Tract 1407.01,41.97,-87.71,-87.71,-87.72,41.97,41.96,0.00,0.03,0.10,0.06,0.08,0.03,0.01,0.08,0.11,0.22,0.21,0.05,0.02,0.04,0.76,0.56,0.00,0.03,0.72,0.21,0.41,0.21,0.25,0.05,0.07,0.04,0.78,0.03,0.48,0.39,0.15,0.04,0.34,0.12,0.06,0.45,0.06,0.00,0.19,0.50,236.00,477.00,35.00,60100.00,70266.00,1137.00,13.10,5.40,4.90,276500.00,1805.00,677.00,1137.00,2911.00,1318.00,1292.00,1006.00,2911.00,101.00,32.90,1075.00,948.00
17031140702.00,0.00,140702.00,1407.02,Census Tract 1407.02,41.96,-87.71,-87.71,-87.72,41.97,41.96,0.00,0.04,0.13,0.02,0.07,0.04,0.02,0.06,0.15,0.18,0.20,0.08,0.01,0.06,0.72,0.44,0.00,0.01,0.67,0.09,0.40,0.20,0.24,0.07,0.08,0.02,0.65,0.04,0.51,0.52,0.21,0.10,0.29,0.10,0.10,0.73,0.03,0.00,0.05,0.65,544.00,779.00,37.90,51324.00,72708.00,2177.00,0.00,1.70,4.80,286000.00,2047.00,826.00,948.00,6133.00,2695.00,2499.00,2060.00,6154.00,105.50,33.00,1137.00,998.00
17031140800.00,0.00,140800.00,1408.00,Census Tract 1408,41.96,-87.70,-87.70,-87.71,41.97,41.96,0.00,0.03,0.05,0.04,0.07,0.07,0.01,0.09,0.18,0.22,0.18,0.04,0.01,0.06,0.82,0.58,0.00,0.00,0.51,0.05,0.33,0.16,0.24,0.04,0.01,0.03,0.75,0.06,0.50,0.43,0.08,0.07,0.48,0.21,0.11,0.66,0.06,0.00,0.10,0.37,371.00,733.00,39.00,69545.00,101054.00,2883.00,0.00,3.30,5.00,466700.00,2224.00,902.00,1064.00,6800.00,2503.00,2380.00,2600.00,6800.00,101.20,37.70,1336.00,948.00
17031150200.00,0.00,150200.00,1502.00,Census Tract 1502,41.96,-87.75,-87.75,-87.76,41.96,41.96,0.00,0.06,0.06,0.04,0.09,0.06,0.02,0.08,0.18,0.20,0.15,0.03,0.03,0.08,0.84,0.66,0.00,0.00,0.48,0.11,0.33,0.20,0.27,0.11,0.03,0.02,0.70,0.07,0.44,0.38,0.05,0.05,0.35,0.15,0.13,0.75,0.02,0.00,0.07,0.28,520.00,892.00,37.70,64545.00,76834.00,3393.00,2.30,4.60,5.30,325200.00,2041.00,726.00,983.00,7682.00,2253.00,1898.00,2972.00,7701.00,89.20,36.60,1147.00,889.00
17031150300.00,0.00,150300.00,1503.00,Census Tract 1503,41.96,-87.76,-87.76,-87.77,41.96,41.96,0.00,0.04,0.06,0.06,0.09,0.07,0.04,0.10,0.11,0.26,0.08,0.04,0.07,0.06,0.90,0.68,0.00,0.00,0.47,0.13,0.26,0.09,0.32,0.14,0.02,0.03,0.64,0.08,0.42,0.40,0.04,0.05,0.40,0.13,0.19,0.73,0.03,0.00,0.03,0.30,479.00,1121.00,38.20,74106.00,83759.00,3169.00,0.00,0.00,5.20,314000.00,1887.00,699.00,1077.00,8145.00,2331.00,2183.00,2991.00,8150.00,106.10,38.70,1148.00,972.00
17031150401.00,0.00,150401.00,1504.01,Census Tract 1504.01,41.96,-87.77,-87.77,-87.78,41.97,41.96,0.00,0.07,0.12,0.02,0.14,0.07,0.03,0.04,0.11,0.22,0.08,0.09,0.02,0.05,0.90,0.67,0.00,0.00,0.43,0.04,0.30,0.10,0.28,0.16,0.01,0.02,0.62,0.10,0.43,0.34,0.06,0.06,0.28,0.05,0.15,0.77,0.02,0.01,0.04,0.30,356.00,1013.00,36.50,70203.00,84272.00,1955.00,1.90,3.10,5.10,266100.00,1802.00,653.00,972.00,5266.00,1627.00,1497.00,1811.00,5266.00,95.80,37.60,1131.00,1037.00
17031150402.00,0.00,150402.00,1504.02,Census Tract 1504.02,41.96,-87.77,-87.77,-87.78,41.96,41.95,0.00,0.06,0.11,0.04,0.12,0.02,0.02,0.08,0.13,0.19,0.19,0.03,0.03,0.04,0.83,0.70,0.00,0.00,0.28,0.09,0.19,0.07,0.40,0.16,0.02,0.00,0.64,0.07,0.39,0.36,0.08,0.05,0.31,0.05,0.14,0.84,0.00,0.00,0.04,0.29,257.00,322.00,35.90,64545.00,83391.00,1486.00,2.30,0.00,5.50,292700.00,2127.00,700.00,1037.00,3662.00,1497.00,1393.00,1260.00,3668.00,109.80,36.30,1148.00,941.00
17031150501.00,0.00,150501.00,1505.01,Census Tract 1505.01,41.96,-87.78,-87.78,-87.79,41.97,41.96,0.00,0.09,0.10,0.02,0.06,0.08,0.02,0.07,0.07,0.22,0.09,0.08,0.10,0.01,0.89,0.69,0.01,0.00,0.24,0.05,0.24,0.07,0.43,0.12,0.03,0.01,0.66,0.13,0.27,0.32,0.06,0.06,0.31,0.07,0.22,0.79,0.03,0.00,0.04,0.23,265.00,529.00,35.70,65893.00,85314.00,1488.00,0.00,0.00,5.70,242200.00,1748.00,657.00,1066.00,4045.00,1167.00,1057.00,1432.00,4050.00,84.20,42.00,1131.00,941.00
17031150502.00,0.00,150502.00,1505.02,Census Tract 1505.02,41.96,-87.78,-87.78,-87.79,41.96,41.95,0.00,0.09,0.13,0.01,0.09,0.05,0.00,0.10,0.15,0.18,0.10,0.05,0.05,0.09,0.90,0.55,0.01,0.00,0.39,0.12,0.19,0.15,0.47,0.05,0.01,0.01,0.70,0.12,0.35,0.30,0.05,0.05,0.30,0.08,0.15,0.71,0.01,0.00,0.09,0.30,385.00,535.00,36.90,57857.00,78450.00,1646.00,0.00,3.50,5.40,241900.00,1810.00,660.00,1050.00,4221.00,1498.00,1404.00,1506.00,4243.00,107.00,39.10,1210.00,941.00
17031150600.00,0.00,150600.00,1506.00,Census Tract 1506,41.95,-87.77,-87.77,-87.78,41.95,41.95,0.00,0.06,0.09,0.03,0.13,0.04,0.07,0.09,0.12,0.17,0.12,0.04,0.03,0.05,0.90,0.64,0.00,0.00,0.32,0.10,0.29,0.11,0.39,0.14,0.03,0.00,0.62,0.06,0.46,0.41,0.06,0.03,0.24,0.13,0.16,0.67,0.00,0.01,0.12,0.40,324.00,440.00,40.60,65543.00,80604.00,1579.00,0.00,9.80,5.40,262800.00,1923.00,646.00,1000.00,3899.00,1147.00,1042.00,1370.00,3899.00,98.90,38.20,1148.00,844.00
17031150700.00,0.00,150700.00,1507.00,Census Tract 1507,41.95,-87.76,-87.76,-87.77,41.95,41.95,0.00,0.12,0.11,0.02,0.11,0.07,0.02,0.06,0.11,0.17,0.13,0.05,0.04,0.04,0.88,0.67,0.00,0.00,0.33,0.09,0.21,0.09,0.34,0.13,0.02,0.00,0.61,0.12,0.47,0.34,0.05,0.08,0.28,0.08,0.17,0.75,0.01,0.00,0.04,0.46,299.00,426.00,35.80,69265.00,84631.00,1658.00,3.30,0.00,5.40,251800.00,1940.00,693.00,1148.00,3994.00,1345.00,1171.00,1474.00,3994.00,102.40,39.80,1077.00,844.00
17031150800.00,0.00,150800.00,1508.00,Census Tract 1508,41.95,-87.75,-87.75,-87.76,41.95,41.95,0.00,0.14,0.11,0.02,0.11,0.09,0.02,0.04,0.07,0.17,0.14,0.06,0.03,0.03,0.78,0.55,0.00,0.00,0.53,0.05,0.38,0.10,0.31,0.15,0.01,0.00,0.68,0.10,0.45,0.33,0.15,0.12,0.26,0.09,0.13,0.55,0.01,0.01,0.07,0.54,315.00,650.00,37.20,54414.00,75261.00,1853.00,1.10,4.30,5.20,284300.00,1938.00,649.00,993.00,4901.00,1894.00,1621.00,1704.00,4914.00,117.50,35.50,1148.00,922.00
17031151001.00,0.00,151001.00,1510.01,Census Tract 1510.01,41.94,-87.75,-87.75,-87.76,41.95,41.94,0.00,0.04,0.15,0.02,0.11,0.05,0.02,0.05,0.14,0.17,0.14,0.08,0.03,0.15,0.83,0.56,0.00,0.00,0.53,0.08,0.35,0.19,0.29,0.10,0.00,0.01,0.60,0.11,0.43,0.45,0.14,0.11,0.20,0.07,0.16,0.62,0.07,0.00,0.06,0.55,78.00,344.00,39.80,49674.00,63073.00,1033.00,1.90,2.50,5.00,262600.00,1905.00,704.00,1009.00,2404.00,1037.00,939.00,884.00,2404.00,79.90,37.20,1148.00,821.00
17031151002.00,0.00,151002.00,1510.02,Census Tract 1510.02,41.94,-87.75,-87.74,-87.75,41.95,41.94,0.01,0.05,0.09,0.05,0.11,0.05,0.01,0.05,0.12,0.22,0.16,0.05,0.02,0.05,0.77,0.50,0.00,0.00,0.52,0.12,0.27,0.08,0.28,0.11,0.02,0.03,0.70,0.07,0.47,0.36,0.13,0.13,0.19,0.06,0.12,0.61,0.01,0.00,0.03,0.69,398.00,571.00,35.60,48225.00,60421.00,1678.00,0.00,1.50,5.00,287400.00,1858.00,818.00,922.00,4360.00,1888.00,1658.00,1528.00,4360.00,109.80,36.10,1076.00,880.00
17031151100.00,0.00,151100.00,1511.00,Census Tract 1511,41.94,-87.76,-87.76,-87.77,41.94,41.94,0.00,0.06,0.09,0.02,0.17,0.07,0.01,0.07,0.09,0.18,0.17,0.05,0.02,0.06,0.80,0.50,0.00,0.00,0.56,0.09,0.36,0.15,0.46,0.13,0.03,0.02,0.63,0.06,0.41,0.37,0.08,0.15,0.19,0.05,0.16,0.66,0.01,0.00,0.05,0.59,476.00,787.00,39.70,58269.00,69708.00,1925.00,0.00,2.10,5.20,270400.00,1977.00,789.00,1028.00,5602.00,2667.00,2241.00,1760.00,5612.00,88.40,35.10,1148.00,821.00
17031151200.00,0.00,151200.00,1512.00,Census Tract 1512,41.94,-87.77,-87.77,-87.78,41.94,41.94,0.00,0.14,0.10,0.02,0.12,0.13,0.01,0.07,0.07,0.19,0.09,0.03,0.03,0.03,0.88,0.69,0.02,0.00,0.27,0.07,0.28,0.12,0.40,0.17,0.03,0.02,0.76,0.13,0.40,0.35,0.07,0.08,0.22,0.06,0.16,0.81,0.01,0.00,0.01,0.42,209.00,514.00,35.10,54671.00,72838.00,1330.00,3.40,4.60,5.50,266300.00,1860.00,675.00,844.00,3687.00,1686.00,1571.00,1217.00,3687.00,90.50,40.50,1148.00,976.00
17031160100.00,0.00,160100.00,1601.00,Census Tract 1601,41.96,-87.74,-87.74,-87.75,41.97,41.96,0.00,0.09,0.11,0.03,0.06,0.06,0.04,0.06,0.11,0.23,0.06,0.08,0.06,0.06,0.88,0.66,0.00,0.01,0.48,0.09,0.35,0.11,0.33,0.06,0.04,0.00,0.76,0.06,0.43,0.29,0.06,0.04,0.38,0.13,0.11,0.73,0.00,0.01,0.14,0.31,292.00,309.00,34.50,65161.00,81147.00,1031.00,3.10,3.60,5.10,317100.00,1982.00,806.00,1147.00,2683.00,847.00,749.00,946.00,2688.00,103.20,36.50,1067.00,870.00
17031160200.00,0.00,160200.00,1602.00,Census Tract 1602,41.96,-87.74,-87.73,-87.74,41.96,41.96,0.00,0.02,0.06,0.02,0.14,0.04,0.05,0.11,0.17,0.27,0.03,0.07,0.02,0.05,0.92,0.77,0.02,0.00,0.37,0.05,0.28,0.14,0.35,0.13,0.00,0.00,0.74,0.02,0.48,0.27,0.01,0.04,0.52,0.17,0.18,0.83,0.02,0.01,0.09,0.26,192.00,339.00,34.10,74219.00,100531.00,1355.00,6.80,0.00,6.10,380900.00,2485.00,775.00,889.00,3048.00,608.00,479.00,1248.00,3093.00,114.60,38.00,1334.00,925.00
17031160300.00,1.00,160300.00,1603.00,Census Tract 1603,41.96,-87.73,-87.73,-87.73,41.96,41.95,0.00,0.02,0.11,0.01,0.10,0.12,0.03,0.05,0.10,0.20,0.14,0.07,0.06,0.08,0.83,0.65,0.00,0.00,0.61,0.12,0.50,0.23,0.18,0.03,0.02,0.06,0.65,0.13,0.42,0.42,0.04,0.02,0.45,0.12,0.18,0.71,0.07,0.01,0.12,0.17,404.00,148.00,34.50,51511.00,64851.00,2035.00,5.50,0.00,4.10,159900.00,1358.00,604.00,925.00,3709.00,1446.00,1411.00,1859.00,3834.00,86.90,35.60,1334.00,889.00
17031160400.00,0.00,160400.00,1604.00,Census Tract 1604,41.96,-87.72,-87.72,-87.73,41.96,41.95,0.00,0.03,0.07,0.01,0.08,0.11,0.05,0.08,0.13,0.17,0.18,0.09,0.01,0.05,0.86,0.62,0.01,0.00,0.52,0.11,0.36,0.12,0.31,0.06,0.03,0.00,0.67,0.06,0.42,0.32,0.10,0.07,0.35,0.11,0.14,0.80,0.05,0.00,0.06,0.41,290.00,569.00,34.20,49216.00,67025.00,2042.00,4.70,8.20,4.90,297700.00,1980.00,728.00,992.00,4697.00,1535.00,1306.00,1807.00,4708.00,100.70,36.20,1080.00,925.00
17031160501.00,0.00,160501.00,1605.01,Census Tract 1605.01,41.96,-87.71,-87.71,-87.72,41.96,41.96,0.00,0.01,0.15,0.03,0.10,0.04,0.02,0.04,0.12,0.19,0.22,0.02,0.06,0.06,0.78,0.43,0.00,0.01,0.59,0.13,0.30,0.20,0.25,0.12,0.06,0.01,0.70,0.05,0.44,0.46,0.16,0.07,0.32,0.10,0.11,0.76,0.04,0.00,0.12,0.61,468.00,670.00,34.20,56477.00,71125.00,1529.00,6.70,8.30,5.30,280600.00,2068.00,671.00,1075.00,4237.00,1800.00,1681.00,1298.00,4237.00,85.30,31.50,1137.00,948.00
17031160502.00,0.00,160502.00,1605.02,Census Tract 1605.02,41.96,-87.71,-87.71,-87.72,41.96,41.95,0.00,0.05,0.06,0.05,0.11,0.09,0.02,0.08,0.11,0.18,0.12,0.09,0.03,0.05,0.77,0.53,0.00,0.01,0.57,0.17,0.29,0.17,0.30,0.08,0.03,0.00,0.83,0.05,0.54,0.43,0.13,0.06,0.30,0.09,0.07,0.78,0.02,0.00,0.08,0.64,293.00,555.00,35.50,58776.00,74020.00,1464.00,7.30,11.50,5.00,266100.00,1940.00,761.00,1080.00,3905.00,1549.00,1423.00,1290.00,3905.00,99.80,32.10,1088.00,948.00
17031160601.00,0.00,160601.00,1606.01,Census Tract 1606.01,41.96,-87.70,-87.70,-87.71,41.96,41.96,0.00,0.05,0.13,0.01,0.04,0.02,0.06,0.08,0.15,0.25,0.15,0.05,0.01,0.06,0.81,0.66,0.03,0.01,0.55,0.14,0.38,0.14,0.36,0.04,0.06,0.00,0.81,0.06,0.48,0.46,0.06,0.10,0.48,0.16,0.08,0.85,0.02,0.00,0.05,0.46,450.00,327.00,36.40,67113.00,78836.00,1444.00,3.60,6.70,5.10,251500.00,2091.00,640.00,1072.00,3664.00,1099.00,1078.00,1325.00,3674.00,87.10,33.60,1280.00,948.00
17031160602.00,0.00,160602.00,1606.02,Census Tract 1606.02,41.96,-87.70,-87.70,-87.70,41.96,41.95,0.00,0.02,0.03,0.03,0.09,0.07,0.03,0.11,0.17,0.20,0.15,0.08,0.03,0.04,0.87,0.68,0.00,0.01,0.61,0.10,0.46,0.14,0.29,0.03,0.00,0.00,0.71,0.02,0.49,0.39,0.12,0.05,0.40,0.13,0.08,0.75,0.01,0.00,0.12,0.46,297.00,515.00,35.30,59821.00,73661.00,1617.00,6.10,5.20,4.70,284300.00,2450.00,657.00,987.00,3679.00,1300.00,1217.00,1443.00,3679.00,96.30,34.70,1363.00,1064.00
17031160700.00,0.00,160700.00,1607.00,Census Tract 1607,41.95,-87.70,-87.70,-87.71,41.95,41.95,0.00,0.05,0.03,0.03,0.13,0.03,0.05,0.08,0.15,0.20,0.15,0.07,0.03,0.01,0.78,0.63,0.01,0.01,0.51,0.09,0.40,0.07,0.33,0.10,0.02,0.00,0.77,0.06,0.39,0.28,0.13,0.05,0.39,0.11,0.16,0.68,0.05,0.00,0.12,0.41,421.00,568.00,35.50,65281.00,88090.00,2462.00,0.00,0.00,5.40,288300.00,1958.00,681.00,1280.00,6364.00,2366.00,2254.00,2251.00,6533.00,100.30,39.00,1211.00,987.00
17031160800.00,0.00,160800.00,1608.00,Census Tract 1608,41.95,-87.71,-87.71,-87.72,41.95,41.95,0.00,0.04,0.08,0.02,0.10,0.09,0.02,0.10,0.18,0.14,0.15,0.06,0.03,0.03,0.82,0.63,0.00,0.00,0.61,0.12,0.41,0.17,0.30,0.10,0.05,0.02,0.70,0.04,0.56,0.41,0.12,0.06,0.33,0.10,0.11,0.74,0.01,0.00,0.10,0.51,366.00,620.00,33.90,57261.00,74380.00,2046.00,1.10,2.50,5.10,285200.00,2262.00,850.00,1088.00,5164.00,1793.00,1735.00,1859.00,5164.00,110.90,33.70,1280.00,984.00
17031160900.00,0.00,160900.00,1609.00,Census Tract 1609,41.95,-87.72,-87.72,-87.73,41.95,41.95,0.00,0.02,0.04,0.02,0.09,0.13,0.02,0.12,0.16,0.19,0.12,0.02,0.09,0.02,0.96,0.80,0.00,0.00,0.44,0.16,0.29,0.15,0.30,0.05,0.00,0.00,0.72,0.08,0.44,0.39,0.03,0.02,0.51,0.15,0.13,0.82,0.02,0.00,0.09,0.31,173.00,335.00,36.00,80551.00,91897.00,1105.00,0.00,5.00,5.60,388400.00,2503.00,894.00,984.00,2464.00,518.00,434.00,1048.00,2470.00,93.90,39.30,1118.00,925.00
17031161000.00,0.00,161000.00,1610.00,Census Tract 1610,41.95,-87.73,-87.73,-87.73,41.95,41.95,0.00,0.04,0.05,0.03,0.07,0.09,0.06,0.16,0.21,0.17,0.04,0.06,0.02,0.04,0.94,0.84,0.00,0.00,0.47,0.15,0.34,0.20,0.25,0.07,0.01,0.00,0.75,0.10,0.43,0.40,0.01,0.05,0.49,0.22,0.14,0.79,0.02,0.00,0.03,0.38,228.00,215.00,33.70,73342.00,100534.00,913.00,3.40,9.90,5.40,482700.00,2943.00,810.00,1118.00,2022.00,267.00,205.00,809.00,2027.00,96.80,35.40,1334.00,925.00
17031161100.00,0.00,161100.00,1611.00,Census Tract 1611,41.95,-87.74,-87.73,-87.74,41.95,41.95,0.00,0.02,0.10,0.03,0.10,0.04,0.01,0.13,0.23,0.21,0.07,0.03,0.03,0.00,0.99,0.92,0.00,0.03,0.27,0.05,0.27,0.05,0.41,0.11,0.01,0.00,0.66,0.08,0.36,0.23,0.02,0.03,0.62,0.16,0.14,0.75,0.07,0.00,0.09,0.16,171.00,339.00,38.30,101848.00,155564.00,802.00,0.00,0.00,6.40,443300.00,2713.00,971.00,1334.00,1935.00,252.00,213.00,746.00,1935.00,99.10,40.30,1118.00,889.00
17031161200.00,0.00,161200.00,1612.00,Census Tract 1612,41.94,-87.74,-87.73,-87.74,41.95,41.94,0.00,0.03,0.14,0.02,0.13,0.08,0.00,0.04,0.22,0.14,0.10,0.05,0.03,0.05,0.79,0.58,0.00,0.01,0.38,0.05,0.37,0.11,0.31,0.15,0.03,0.02,0.79,0.06,0.47,0.41,0.14,0.06,0.33,0.12,0.11,0.77,0.01,0.00,0.06,0.58,249.00,385.00,34.80,61466.00,78071.00,1066.00,2.80,11.50,5.40,255600.00,1911.00,698.00,1050.00,3021.00,1193.00,1095.00,946.00,3021.00,108.20,34.80,1334.00,880.00
17031161300.00,0.00,161300.00,1613.00,Census Tract 1613,41.94,-87.73,-87.73,-87.73,41.95,41.94,0.00,0.05,0.07,0.01,0.13,0.08,0.01,0.05,0.12,0.19,0.18,0.10,0.02,0.06,0.70,0.48,0.01,0.00,0.63,0.10,0.36,0.26,0.28,0.08,0.01,0.02,0.69,0.09,0.48,0.44,0.13,0.06,0.24,0.10,0.10,0.87,0.03,0.00,0.02,0.60,289.00,413.00,35.40,45616.00,57644.00,1615.00,0.00,15.00,4.80,258900.00,1954.00,757.00,940.00,3589.00,1444.00,1393.00,1361.00,3638.00,88.90,36.90,1334.00,936.00
17031170100.00,0.00,170100.00,1701.00,Census Tract 1701,41.96,-87.79,-87.79,-87.80,41.96,41.95,0.00,0.06,0.10,0.01,0.12,0.14,0.01,0.05,0.17,0.20,0.00,0.06,0.07,0.13,0.95,0.69,0.00,0.01,0.28,0.17,0.16,0.22,0.13,0.06,0.01,0.00,0.51,0.37,0.37,0.30,0.06,0.11,0.26,0.10,0.47,0.84,0.07,0.00,0.05,0.10,58.00,51.00,40.80,39643.00,52751.00,1131.00,0.00,9.60,4.10,162500.00,1400.00,551.00,1210.00,1647.00,715.00,667.00,982.00,1805.00,84.40,59.30,1649.00,941.00
17031170200.00,0.00,170200.00,1702.00,Census Tract 1702,41.95,-87.78,-87.78,-87.79,41.95,41.95,0.00,0.07,0.11,0.01,0.16,0.11,0.02,0.06,0.13,0.22,0.07,0.03,0.03,0.01,0.82,0.61,0.00,0.00,0.24,0.07,0.28,0.07,0.45,0.16,0.00,0.00,0.78,0.04,0.36,0.35,0.10,0.06,0.25,0.05,0.20,0.70,0.00,0.00,0.11,0.41,343.00,606.00,40.30,71660.00,86674.00,1325.00,0.00,9.30,5.70,254600.00,1955.00,662.00,941.00,4170.00,1298.00,1110.00,1241.00,4178.00,93.50,38.40,1050.00,844.00
17031170300.00,0.00,170300.00,1703.00,Census Tract 1703,41.95,-87.80,-87.79,-87.80,41.95,41.95,0.00,0.09,0.13,0.04,0.12,0.05,0.04,0.06,0.11,0.18,0.09,0.03,0.07,0.06,0.91,0.62,0.00,0.00,0.34,0.08,0.29,0.09,0.42,0.13,0.01,0.01,0.63,0.13,0.40,0.37,0.06,0.05,0.30,0.04,0.17,0.87,0.00,0.00,0.05,0.38,460.00,974.00,37.00,59554.00,72642.00,1992.00,2.10,8.50,5.40,227300.00,1655.00,604.00,1053.00,5491.00,2053.00,1876.00,1848.00,5496.00,97.00,37.10,1210.00,781.00
17031170400.00,0.00,170400.00,1704.00,Census Tract 1704,41.95,-87.81,-87.81,-87.82,41.95,41.95,0.00,0.17,0.09,0.04,0.07,0.14,0.00,0.08,0.06,0.20,0.09,0.05,0.01,0.05,0.90,0.63,0.00,0.00,0.25,0.06,0.24,0.06,0.43,0.14,0.01,0.01,0.64,0.09,0.35,0.31,0.04,0.07,0.25,0.07,0.21,0.90,0.03,0.01,0.03,0.12,299.00,442.00,39.60,56645.00,69834.00,1581.00,0.00,0.00,5.20,234700.00,1874.00,603.00,1113.00,3765.00,1395.00,1347.00,1517.00,3765.00,104.20,44.20,1123.00,904.00
17031170500.00,0.00,170500.00,1705.00,Census Tract 1705,41.95,-87.83,-87.83,-87.83,41.95,41.95,0.00,0.06,0.09,0.01,0.12,0.09,0.02,0.08,0.08,0.23,0.11,0.02,0.10,0.03,0.89,0.73,0.00,0.00,0.26,0.06,0.31,0.07,0.41,0.15,0.01,0.01,0.69,0.08,0.39,0.31,0.04,0.03,0.24,0.05,0.19,0.89,0.01,0.00,0.03,0.21,414.00,755.00,36.60,78650.00,81202.00,2069.00,3.00,0.00,5.70,236300.00,1848.00,660.00,1123.00,5504.00,1352.00,1293.00,1989.00,5504.00,87.70,40.30,1113.00,963.00
